PARAMETERS: 
 
labelset: weak 
split: train 
lambda: 0 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/weak_cls_5.json 
 
F1: 0.5710761278195489 
 
              precision    recall  f1-score   support

         LOC       0.55      0.84      0.67      2239
        MISC       0.66      0.43      0.52      1205
         ORG       0.32      0.33      0.32      2342
         PER       0.72      0.74      0.73      2295

   micro avg       0.54      0.60      0.57      8081
   macro avg       0.56      0.58      0.56      8081
weighted avg       0.55      0.60      0.56      8081
 
Relabeling rate: 0.02067011906342675 
 
 
SUM: 
 
Run 1: 
 
File: ./results/weak_sum_5.json 
 
F1: 0.5976268796992481 
 
              precision    recall  f1-score   support

         LOC       0.59      0.92      0.72      2239
        MISC       0.67      0.44      0.53      1205
         ORG       0.33      0.35      0.34      2342
         PER       0.77      0.73      0.75      2295

   micro avg       0.57      0.63      0.60      8081
   macro avg       0.59      0.61      0.59      8081
weighted avg       0.58      0.63      0.59      8081
 
Relabeling rate: 0.016642322843358537 
 
 
QUALITATIVE RELABELING EVALUATION: 
 
Token                Clean                Original             CLS                  SUM                  
 
Corporate            O                    B-ORG                B-ORG                B-ORG                
America              B-MISC               B-LOC                B-ORG                B-ORG                
is                   O                    O                    O                    O                    
planning             O                    O                    O                    O                    
major                O                    O                    O                    O                    
changes              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
employee             O                    O                    O                    O                    
compensation         O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
next                 O                    O                    O                    O                    
few                  O                    O                    O                    O                    
years                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
according            O                    O                    O                    O                    
to                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
recent               O                    O                    O                    O                    
study                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Presently            O                    O                    O                    O                    
,                    O                    O                    O                    O                    
for                  O                    O                    O                    O                    
example              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
if                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
accountant           O                    O                    O                    O                    
's                   O                    O                    O                    O                    
job                  O                    O                    O                    O                    
involves             O                    O                    O                    O                    
doing                O                    O                    O                    O                    
five                 O                    O                    O                    O                    
specific             O                    O                    O                    O                    
tasks                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
he                   O                    O                    O                    O                    
or                   O                    O                    O                    O                    
she                  O                    O                    O                    O                    
can                  O                    O                    O                    O                    
expect               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
certain              O                    O                    O                    O                    
salary               O                    O                    O                    O                    
,                    O                    O                    O                    O                    
said                 O                    O                    O                    O                    
Sandra               B-PER                B-PER                B-ORG                B-ORG                
O'Neal               I-PER                I-PER                I-ORG                I-ORG                
,                    O                    O                    O                    O                    
a                    O                    O                    O                    O                    
Towers               B-ORG                B-ORG                B-ORG                B-PER                
Perrin               I-ORG                I-ORG                I-ORG                I-PER                
principal            O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
The                  O                    O                    O                    O                    
good                 O                    O                    O                    O                    
news                 O                    O                    O                    O                    
is                   O                    O                    O                    O                    
,                    O                    O                    O                    O                    
if                   O                    O                    O                    O                    
you                  O                    B-PER                B-PER                B-PER                
're                  O                    O                    O                    O                    
highly               O                    O                    O                    O                    
skilled              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
have                 O                    O                    O                    O                    
many                 O                    O                    O                    O                    
abilities            O                    O                    O                    O                    
,                    O                    O                    O                    O                    
you                  O                    B-PER                B-PER                B-PER                
'll                  O                    O                    O                    O                    
be                   O                    O                    O                    O                    
paid                 O                    O                    O                    O                    
more                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
said                 O                    O                    O                    O                    
O'Neal               B-PER                B-ORG                B-ORG                B-PER                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
After                O                    O                    O                    O                    
World                B-MISC               B-MISC               B-MISC               B-ORG                
War                  I-MISC               I-MISC               I-MISC               I-ORG                
II                   I-MISC               I-MISC               I-MISC               I-ORG                
,                    O                    O                    O                    O                    
corporations         O                    O                    O                    O                    
adopted              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
military             O                    O                    O                    O                    
model                O                    O                    O                    O                    
"                    O                    O                    O                    O                    
creating             O                    O                    O                    O                    
hierarchical         O                    O                    O                    O                    
organisations        O                    O                    O                    O                    
where                O                    O                    O                    O                    
"                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
concept              O                    O                    O                    O                    
of                   O                    O                    O                    O                    
defined              O                    O                    O                    O                    
tasks                O                    O                    O                    O                    
worked               O                    O                    O                    O                    
great                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
she                  O                    O                    O                    O                    
said                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
O'Neal               B-PER                B-ORG                B-ORG                B-ORG                
says                 O                    B-ORG                B-ORG                B-PER                
firms                O                    O                    O                    O                    
will                 O                    O                    O                    O                    
place                O                    O                    O                    O                    
a                    O                    O                    O                    O                    
greater              O                    O                    O                    O                    
emphasis             O                    O                    O                    O                    
on                   O                    O                    O                    O                    
teams                O                    O                    O                    O                    
and                  O                    O                    O                    O                    
team                 O                    O                    O                    O                    
performance          O                    O                    O                    O                    
in                   O                    O                    O                    O                    
giving               O                    O                    O                    O                    
raises               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Is                   O                    O                    O                    O                    
this                 O                    O                    O                    O                    
fair                 O                    O                    O                    O                    
to                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
employee             O                    O                    O                    O                    
who                  O                    O                    O                    O                    
can                  O                    O                    O                    O                    
go                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
distance             O                    O                    O                    O                    
but                  O                    B-ORG                B-PER                B-ORG                
is                   O                    O                    O                    O                    
on                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
team                 O                    O                    O                    O                    
that                 O                    O                    O                    O                    
ca                   O                    O                    O                    O                    
n't                  O                    O                    O                    O                    
keep                 O                    O                    O                    O                    
up                   O                    O                    O                    O                    
?                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
That                 O                    O                    O                    O                    
's                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
important            O                    O                    O                    O                    
question             O                    O                    O                    O                    
we                   O                    O                    O                    O                    
used                 O                    O                    O                    O                    
to                   O                    O                    O                    O                    
ask                  O                    O                    O                    O                    
a                    O                    O                    O                    O                    
lot                  O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
said                 O                    O                    O                    O                    
O'Neal               B-PER                B-ORG                B-ORG                B-PER                
.                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
