PARAMETERS: 
 
labelset: expert 
split: train 
lambda: 0.33 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/expert_cls_9.json 
 
F1: 0.8898178188170701 
 
              precision    recall  f1-score   support

         LOC       0.85      0.89      0.87      2239
        MISC       0.89      0.78      0.83      1205
         ORG       0.88      0.85      0.86      2342
         PER       0.96      0.97      0.96      2295

   micro avg       0.90      0.88      0.89      8081
   macro avg       0.90      0.87      0.88      8081
weighted avg       0.90      0.88      0.89      8081
 
Relabeling rate: 0.01388335620177339 
 
 
SUM: 
 
Run 1: 
 
File: ./results/expert_sum_9.json 
 
F1: 0.8813260225625512 
 
              precision    recall  f1-score   support

         LOC       0.84      0.91      0.87      2239
        MISC       0.87      0.73      0.79      1205
         ORG       0.92      0.82      0.87      2342
         PER       0.95      0.94      0.95      2295

   micro avg       0.90      0.87      0.88      8081
   macro avg       0.89      0.85      0.87      8081
weighted avg       0.90      0.87      0.88      8081
 
Relabeling rate: 0.0182062290680004 
 
 
QUALITATIVE RELABELING EVALUATION: 
 
Token                Clean                Original             CLS                  SUM                  
 
NEW                  B-LOC                B-LOC                B-ORG                B-LOC                
YORK                 I-LOC                I-LOC                I-ORG                I-LOC                
1996-08-23           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Presently            O                    O                    O                    O                    
,                    O                    O                    O                    O                    
for                  O                    O                    O                    O                    
example              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
if                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
accountant           O                    O                    O                    O                    
's                   O                    O                    O                    O                    
job                  O                    O                    O                    O                    
involves             O                    O                    O                    O                    
doing                O                    O                    O                    O                    
five                 O                    O                    O                    O                    
specific             O                    O                    O                    O                    
tasks                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
he                   O                    O                    O                    O                    
or                   O                    O                    O                    O                    
she                  O                    O                    O                    O                    
can                  O                    O                    O                    O                    
expect               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
certain              O                    O                    O                    O                    
salary               O                    O                    O                    O                    
,                    O                    O                    O                    O                    
said                 O                    O                    O                    O                    
Sandra               B-PER                B-PER                B-PER                B-PER                
