PARAMETERS: 
 
labelset: original 
split: train 
lambda: 0 
k: 3 
 
 
CLS: 
 
Run 1: 
 
File: ./results/original_cls_4.json 
 
F1: 0.8215968261839821 
 
              precision    recall  f1-score   support

         LOC       0.78      0.80      0.79      2239
        MISC       0.77      0.69      0.73      1205
         ORG       0.82      0.81      0.81      2342
         PER       0.89      0.92      0.90      2295

   micro avg       0.82      0.82      0.82      8081
   macro avg       0.82      0.80      0.81      8081
weighted avg       0.82      0.82      0.82      8081
 
Relabeling rate: 0.02463889995426316 
 
 
SUM: 
 
Run 1: 
 
File: ./results/original_sum_4.json 
 
F1: 0.8258120505826927 
 
              precision    recall  f1-score   support

         LOC       0.80      0.81      0.81      2239
        MISC       0.76      0.66      0.71      1205
         ORG       0.84      0.81      0.83      2342
         PER       0.86      0.94      0.90      2295

   micro avg       0.83      0.82      0.83      8081
   macro avg       0.82      0.80      0.81      8081
weighted avg       0.83      0.82      0.82      8081
 
Relabeling rate: 0.022396317443455938 
 
 
QUALITATIVE RELABELING EVALUATION: 
 
Token                Clean                Original             CLS                  SUM                  
 
NEW                  B-LOC                B-LOC                B-LOC                B-PER                
YORK                 I-LOC                I-LOC                I-LOC                I-PER                
1996-08-23           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
After                O                    O                    O                    O                    
World                B-MISC               B-MISC               B-LOC                B-LOC                
War                  I-MISC               I-MISC               I-LOC                I-LOC                
II                   I-MISC               I-MISC               I-LOC                I-LOC                
,                    O                    O                    O                    O                    
corporations         O                    O                    O                    O                    
adopted              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
military             O                    O                    O                    O                    
model                O                    O                    O                    O                    
"                    O                    O                    O                    O                    
creating             O                    O                    O                    O                    
hierarchical         O                    O                    O                    O                    
organisations        O                    O                    O                    O                    
where                O                    O                    O                    O                    
"                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
concept              O                    O                    O                    O                    
of                   O                    O                    O                    O                    
defined              O                    O                    O                    O                    
tasks                O                    O                    O                    O                    
worked               O                    O                    O                    O                    
great                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
she                  O                    O                    O                    O                    
said                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
SOCCER               O                    O                    O                    O                    
-                    O                    O                    O                    O                    
FIORENTINA           B-ORG                B-ORG                B-PER                B-ORG                
WIN                  O                    O                    O                    O                    
WITH                 O                    O                    O                    O                    
BATISTUTA            B-PER                B-PER                B-PER                B-ORG                
DOUBLE               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
MILAN                B-LOC                B-LOC                B-PER                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Argentine            B-MISC               B-MISC               B-MISC               B-MISC               
striker              O                    O                    O                    O                    
Gabriel              B-PER                B-PER                B-PER                B-PER                
Batistuta            I-PER                I-PER                I-PER                I-PER                
gave                 O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
the                  O                    O                    O                    O                    
perfect              O                    O                    O                    O                    
70th                 O                    O                    O                    O                    
birthday             O                    O                    O                    O                    
present              O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Sunday               O                    O                    O                    O                    
with                 O                    O                    O                    O                    
two                  O                    O                    O                    O                    
goals                O                    O                    O                    O                    
that                 O                    O                    O                    O                    
gave                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Italian              B-MISC               B-MISC               B-MISC               B-MISC               
Cup                  I-MISC               I-MISC               I-MISC               I-MISC               
winners              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
2-1                  O                    O                    O                    O                    
Supercup             B-MISC               B-MISC               B-ORG                B-MISC               
victory              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
serie                B-MISC               B-MISC               B-PER                B-MISC               
A                    I-MISC               I-MISC               I-PER                I-MISC               
champions            O                    O                    O                    O                    
Milan                B-ORG                B-ORG                B-ORG                B-ORG                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
victory              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
coming               O                    O                    O                    O                    
on                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
eve                  O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
founding             O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Florence             B-LOC                B-LOC                B-ORG                B-ORG                
club                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
1926                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
also                 O                    O                    O                    O                    
marked               O                    O                    O                    O                    
the                  O                    O                    O                    O                    
first                O                    O                    O                    O                    
time                 O                    O                    O                    O                    
since                O                    O                    O                    O                    
the                  O                    O                    O                    O                    
pre-season           O                    O                    O                    O                    
trophy               O                    O                    O                    O                    
between              O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Cup                  B-MISC               B-MISC               B-MISC               B-MISC               
winners              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
league               O                    O                    O                    O                    
champions            O                    O                    O                    O                    
was                  O                    O                    O                    O                    
started              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
1988                 O                    O                    O                    O                    
that                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Cup                  B-MISC               B-MISC               B-MISC               B-MISC               
winners              O                    O                    O                    O                    
had                  O                    O                    O                    O                    
won                  O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Sweden               B-LOC                B-LOC                B-MISC               B-LOC                
's                   O                    O                    O                    O                    
Stefan               B-PER                B-PER                B-PER                B-PER                
Schwarz              I-PER                I-PER                I-PER                I-PER                
picked               O                    O                    O                    O                    
him                  O                    O                    O                    O                    
out                  O                    O                    O                    O                    
with                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
lob                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
edge                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
box                  O                    O                    O                    O                    
and                  O                    O                    O                    O                    
Batistuta            B-PER                B-PER                B-PER                B-PER                
did                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
rest                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
chipping             O                    O                    O                    O                    
veteran              O                    O                    O                    O                    
defender             O                    O                    O                    O                    
Franco               B-PER                B-PER                B-PER                B-PER                
Baresi               I-PER                I-PER                I-PER                I-PER                
and                  O                    O                    O                    O                    
scoring              O                    O                    O                    O                    
at                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
near                 O                    O                    O                    O                    
post                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Montenegrin          B-MISC               B-MISC               B-MISC               B-LOC                
midfielder           O                    O                    O                    O                    
Dejan                B-PER                B-PER                B-PER                B-PER                
Savicevic            I-PER                I-PER                I-PER                I-PER                
equalised            O                    O                    O                    O                    
for                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
home                 O                    O                    O                    O                    
team                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
weaving              O                    O                    O                    O                    
past                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
defender             O                    O                    O                    O                    
,                    O                    O                    O                    O                    
checking             O                    O                    O                    O                    
and                  O                    O                    O                    O                    
firing               O                    O                    O                    O                    
in                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
left-footed          O                    O                    O                    O                    
shot                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
21st                 O                    O                    O                    O                    
minute               O                    O                    O                    O                    
that                 O                    O                    O                    O                    
gave                 O                    O                    O                    O                    
young                O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
goalkeeper           O                    O                    O                    O                    
Francesco            B-PER                B-PER                B-PER                B-PER                
Toldo                I-PER                I-PER                I-PER                I-PER                
little               O                    O                    O                    O                    
chance               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
French               B-MISC               B-MISC               B-MISC               B-LOC                
international        O                    O                    O                    O                    
midfielder           O                    O                    O                    O                    
Marcel               B-PER                B-PER                B-PER                B-PER                
Desailly             I-PER                I-PER                I-PER                I-PER                
fouled               O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Argentine            B-MISC               B-MISC               B-MISC               B-PER                
,                    O                    O                    O                    O                    
whose                O                    O                    O                    O                    
coach                O                    O                    O                    O                    
at                   O                    O                    O                    O                    
Boca                 B-ORG                B-ORG                B-MISC               B-ORG                
Juniors              I-ORG                I-ORG                I-MISC               I-ORG                
before               O                    O                    O                    O                    
he                   O                    O                    O                    O                    
joined               O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
in                   O                    O                    O                    O                    
1991                 O                    O                    O                    O                    
was                  O                    O                    O                    O                    
new                  O                    O                    O                    O                    
Milan                B-ORG                B-ORG                B-ORG                B-ORG                
coach                O                    O                    O                    O                    
Oscar                B-PER                B-PER                B-PER                B-PER                
Tabarez              I-PER                I-PER                I-PER                I-PER                
,                    O                    O                    O                    O                    
and                  O                    O                    O                    O                    
Batistuta            B-PER                B-PER                B-PER                B-PER                
rammed               O                    O                    O                    O                    
home                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
free                 O                    O                    O                    O                    
kick                 O                    O                    O                    O                    
from                 O                    O                    O                    O                    
30                   O                    O                    O                    O                    
metres               O                    O                    O                    O                    
out                  O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Milan                B-ORG                B-ORG                B-ORG                B-LOC                
's                   O                    O                    O                    O                    
player               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
year                 O                    O                    O                    O                    
George               B-PER                B-PER                B-PER                B-PER                
Weah                 I-PER                I-PER                I-PER                I-PER                
missed               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
good                 O                    O                    O                    O                    
first                O                    O                    O                    O                    
half                 O                    O                    O                    O                    
opportunity          O                    O                    O                    O                    
but                  O                    O                    O                    O                    
otherwise            O                    O                    O                    O                    
looked               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
little               O                    O                    O                    O                    
rusty                O                    O                    O                    O                    
while                O                    O                    O                    O                    
Italian              B-MISC               B-MISC               B-MISC               B-PER                
team                 O                    O                    O                    O                    
mate                 O                    O                    O                    O                    
Roberto              B-PER                B-PER                B-PER                B-PER                
Baggio               I-PER                I-PER                I-PER                I-PER                
did                  O                    O                    O                    O                    
not                  O                    O                    O                    O                    
play                 O                    O                    O                    O                    
due                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
injury               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
New                  O                    O                    O                    O                    
Dutch                B-MISC               B-MISC               B-MISC               B-PER                
signing              O                    O                    O                    O                    
Edgar                B-PER                B-PER                B-PER                B-PER                
Davids               I-PER                I-PER                I-PER                I-PER                
came                 O                    O                    O                    O                    
on                   O                    O                    O                    O                    
late                 O                    O                    O                    O                    
